68,101,176,708,946,738,180
69,95,179,590,966,891,159
73,80,155,488,805,1023,249
68,77,135,403,668,879,178
68,94,192,577,988,1023,218
70,99,199,660,1017,926,193
69,91,188,791,1000,1011,181
63,83,163,655,882,1016,173
66,78,153,510,989,1023,346
68,84,159,444,942,989,244
64,76,151,658,785,829,174
75,97,186,656,936,867,159
73,86,158,544,878,989,163
66,81,146,456,984,1023,233
78,76,124,390,828,1010,243
75,70,171,406,747,852,187
70,77,163,453,893,969,216
69,102,149,412,1023,819,193
64,108,198,915,1023,1000,169
65,96,172,757,865,840,143
66,85,161,629,1002,1023,207
71,83,140,520,842,1023,315
71,78,130,438,700,1013,227
72,86,157,449,852,1023,271
69,80,160,462,708,1023,195
67,86,180,626,987,1023,190
70,84,161,553,939,937,192
70,102,139,460,779,1015,192
73,93,175,566,1023,858,152
71,91,175,570,1023,1022,208
64,100,220,843,1023,1023,201
67,92,185,698,1010,1019,187
76,85,172,578,972,969,183
70,88,151,562,811,810,151
70,87,173,526,972,1023,286
63,92,177,653,991,879,205
72,91,172,611,927,728,150
75,103,245,766,1023,1004,199
68,90,172,630,882,1023,228
71,87,159,557,1019,1023,184
66,93,184,586,863,988,196
66,117,229,1017,883,1023,218
85,110,210,960,772,872,159
65,118,220,817,1023,975,204
62,107,192,898,873,1023,212
71,89,199,868,863,876,170
70,94,187,775,929,1023,212
78,91,172,820,774,879,154
62,104,215,862,998,1008,178
71,105,224,1007,835,852,140
58,98,201,850,695,788,145
78,109,215,873,814,931,155
62,99,202,820,752,1004,207
67,107,216,931,786,846,150
79,107,216,979,958,819,181
70,108,231,1002,828,873,166
62,97,194,844,740,964,174
68,109,226,893,879,804,169
70,106,190,794,992,1023,233
63,98,212,771,835,878,168
74,101,205,881,694,729,134
71,104,240,1011,1023,915,177
64,103,202,948,872,759,130
65,112,226,915,720,895,171
62,99,210,758,691,762,162
75,94,183,748,749,628,147
78,111,235,818,910,860,151
73,98,200,679,781,714,140
64,94,211,888,912,771,169
77,96,222,964,756,797,131
70,101,198,803,1002,724,150
71,97,187,674,860,987,191
62,101,205,624,713,825,142
55,111,227,967,815,820,158
71,109,212,886,919,816,193
71,101,210,1004,997,840,169
65,110,233,1009,836,697,133
65,103,207,1019,693,579,112
71,98,214,990,747,962,175
78,95,212,908,680,831,131
73,100,236,1019,635,692,123
75,109,235,1005,987,772,166
73,102,222,1017,823,642,125
66,109,253,965,687,752,123
70,101,232,881,571,962,213
73,106,194,833,1023,890,180
81,99,209,980,868,832,129
69,107,225,986,718,689,106
69,107,238,1018,997,858,190
74,105,221,933,837,713,141
68,105,212,865,696,767,141
